letter,weight,rel_weight,center,rel_center,inertia,rel_inertia
ඉ,1044.0,0.5931818181818181,"(20.60727969348659, 20.738505747126435)","(0.502750761371451, 0.4590350173750334)","(145113.61206896548, 107846.98467432949)","(41.03891744031829, 30.499712860387298)"
ග,932.0,0.6331521739130435,"(23.333690987124463, 16.600858369098713)","(0.4963042441583214, 0.5032534957773779)","(80453.51931330473, 157927.22210300426)","(25.62213990869577, 50.29529366337715)"
ඩ,1099.0,0.5556117290192113,"(23.280254777070063, 23.4294813466788)","(0.4951167728237792, 0.534035270159019)","(184637.28480436763, 190341.6815286624)","(46.56678053073585, 48.005468229170845)"
ච,1036.0,0.547568710359408,"(22.456563706563706, 22.732625482625483)","(0.49898985364101645, 0.5174434638720353)","(166048.93725868725, 150243.0453667954)","(43.87026083452768, 39.69433166890236)"
ෂ,956.0,0.7286585365853658,"(21.14121338912134, 16.67468619246862)","(0.5035303347280335, 0.5056350384667296)","(75777.82740585772, 125301.93619246864)","(28.01398425355184, 46.32234240017325)"
ො,1082.0,0.5464646464646464,"(31.266173752310536, 16.040665434380777)","(0.465633442343239, 0.5186436356683026)","(72158.21072088723, 442397.34195933456)","(13.728731111279915, 84.16996612620521)"
ඬ,1304.0,0.5513742071881607,"(27.976993865030675, 23.447085889570552)","(0.49957396046353103, 0.534454425942156)","(195660.3489263804, 305707.309815951)","(40.143690793266394, 62.722057820260765)"
ඨ,940.0,0.47474747474747475,"(24.203191489361704, 27.31382978723404)","(0.5396091044037605, 0.598041586073501)","(141860.42021276595, 139880.1904255319)","(35.81429442382377, 35.31436264214388)"
ඒ,1153.0,0.4914748508098892,"(25.951431049436252, 28.836079791847354)","(0.5544762455430278, 0.556721595836947)","(216708.01908065914, 167017.28013876843)","(45.94191627743463, 35.40752175933187)"
භ,1055.0,0.6340144230769231,"(26.748815165876778, 16.519431279620854)","(0.5048787287426819, 0.5006268154716405)","(88039.35165876779, 216736.43601895732)","(23.615705917051447, 58.13745601366881)"
ඛ,1211.0,0.6122345803842265,"(23.303881090008257, 23.69942196531792)","(0.4956418020001835, 0.5404624277456648)","(188726.5895953758, 198950.1717588769)","(47.598131045492, 50.17658808546707)"
බ,1183.0,0.6113695090439276,"(22.703296703296704, 23.44632290786137)","(0.4932567432567433, 0.534436259710985)","(184718.34150464923, 187614.8571428571)","(47.68155433780311, 48.42923519433585)"
ෆ,768.0,0.5581395348837209,"(21.928385416666668, 14.8671875)","(0.4982948908730159, 0.44732862903225806)","(68142.453125, 133711.06119791666)","(23.718222459101984, 46.54057124883977)"
ඡ,1024.0,0.59465737514518,"(22.626953125, 24.939453125)","(0.540673828125, 0.5838891006097561)","(111670.24609375, 141559.49609375)","(32.41516577467344, 41.09129059325109)"
ෑ,367.0,0.6796296296296296,"(8.310626702997276, 15.166212534059946)","(0.43003686488219267, 0.48849008738137745)","(31102.86103542234, 6652.58855585831)","(25.410834179266615, 5.435121369165286)"
